itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:11026,Tree Frog Box,1,2,8000,Merchant,Etlol,1612196128,Vendor
i:11027,Wood Frog Box,1,1,8000,Merchant,Etlol,1612196130,Vendor
i:92794,?,1,1,8000,Merchant,Etlol,1612199656,Vendor
i:78910,?,1,1,25600,Merchant,Etlol,1612199663,Vendor
i:136377,Oversized Bobber,5,20,3520,Merchant,Etlol,1612201495,Vendor
i:42436,?,1,3,72000,Merchant,Etlol,1612202591,Vendor
i:173043,Elysian Thade Bait,2,2,250,Merchant,Etlol,1612202720,Vendor
i:93208,?,1,1,64000,Merchant,Etlol,1612202730,Vendor
i:172366,Enchant Weapon - Celestial Guidance,1,1,2059800,Duurzo,Etlol,1612264966,Auction
i:172366,Enchant Weapon - Celestial Guidance,1,1,2059800,Holyfekk,Etlol,1612264972,Auction
i:172419,Enchant Boots - Eternal Agility,1,1,4698800,Fillmeupbois,Etlol,1612265061,Auction
i:183097,?,1,1,3200,Merchant,Etlol,1612292049,Vendor
i:7676,Thistle Tea,8,8,120,Merchant,Etlol,1612364991,Vendor
i:116397,?,1,2,40000,Merchant,Etlol,1612371202,Vendor
i:116397,?,2,2,12500,Merchant,Etlol,1612371211,Vendor
i:177660,Enchant Cloak - Soul Vitality,1,1,14900,Clockwipe,Etlol,1612265305,Auction
i:116397,?,1,1,40000,Merchant,Etlol,1612452548,Vendor
i:184731,?,1,1,1966345,Merchant,Etlol,1612618177,Vendor
i:177659,Enchant Chest - Eternal Skirmish,1,1,5200700,Douluodalu,Etlol,1612806906,Auction
i:172364,Enchant Ring - Tenet of Versatility,1,1,2889800,Vilax,Etlol,1612807030,Auction
i:171276,Spectral Flask of Power,18,18,7500000,Pandinus,Etlol,1612807502,Auction
i:172059,Rich Grazer Milk,10,30,3400,Merchant,Etlol,1612816982,Vendor
i:178786,Lusterwheat Flour,10,30,2800,Merchant,Etlol,1612816987,Vendor
i:172366,Enchant Weapon - Celestial Guidance,1,1,3244700,Asakah,Etlol,1612860628,Auction
